摘要
[样品信息]
类型:,测定数据
281.8,0.045
282.0,0.045
282.2,0.044
282.4,0.044
282.6,0.044
282.8,0.044
283.0,0.043
283.2,0.043
283.4,0.043
283.6,0.043
283.8,0.042
284.0,0.042
284.2,0.042
284.4,0.041
284.6,0.041
284.8,0.041
285.0,0.041
285.2,0.040
285.4,0.040
285.6,0.040
285.8,0.040
286.0,0.039
286.2,0.039
286.4,0.039
286.6,0.038
286.8,0.038
287.0,0.038
287.2,0.038
287.4,0.037
287.6,0.037
287.8,0.037
288.0,0.036
288.2,0.036
288.4,0.036
288.6,0.036
288.8,0.035
289.0,0.035
289.2,0.035
289.4,0.034
289.6,0.034
289.8,0.034
290.0,0.034
290.2,0.033
290.4,0.033
290.6,0.033
290.8,0.033
291.0,0.032
291.2,0.032
291.4,0.032
291.6,0.031
291.8,0.031
292.0,0.031
292.2,0.031
292.4,0.030
292.6,0.030
292.8,0.030
293.0,0.030
293.2,0.029
293.4,0.029
293.6,0.029
293.8,0.029
294.0,0.028
294.2,0.028
294.4,0.028
294.6,0.028
294.8,0.027
295.0,0.027
295.2,0.027
295.4,0.027
295.6,0.026
295.8,0.026
296.0,0.026
296.2,0.026
296.4,0.025
296.6,0.025
296.8,0.025
297.0,0.025
297.2,0.025
297.4,0.024
297.6,0.024
297.8,0.024
298.0,0.024
298.2,0.023
298.4,0.023
298.6,0.023
298.8,0.023
299.0,0.023
299.2,0.022
299.4,0.022
299.6,0.022
299.8,0.022
300.0,0.022
300.2,0.021
300.4,0.021
300.6,0.021
300.8,0.021
301.0,0.021
301.2,0.020
301.4,0.020
301.6,0.020
301.8,0.020
302.0,0.020
302.2,0.019
302.4,0.019
302.6,0.019
302.8,0.019
303.0,0.019
303.2,0.019
303.4,0.019
303.6,0.018
303.8,0.018
304.0,0.018
304.2,0.018
304.4,0.018
304.6,0.018
304.8,0.017
305.0,0.017
305.2,0.017
305.4,0.017
305.6,0.017
305.8,0.017
306.0,0.017
306.2,0.016
306.4,0.016
306.6,0.016
306.8,0.016
307.0,0.016
307.2,0.016
307.4,0.015
307.6,0.015
307.8,0.015
308.0,0.015
308.2,0.015
308.4,0.015
308.6,0.015
308.8,0.015
309.0,0.015
309.2,0.014
309.4,0.014
309.6,0.014
309.8,0.014
310.0,0.014
310.2,0.014
310.4,0.014
310.6,0.014
310.8,0.014
311.0,0.013
311.2,0.013
311.4,0.013
311.6,0.013
311.8,0.013
312.0,0.013
312.2,0.013
312.4,0.013
312.6,0.013
312.8,0.013
313.0,0.013
313.2,0.012
313.4,0.012
313.6,0.012
313.8,0.012
314.0,0.012
314.2,0.012
314.4,0.012
314.6,0.012
314.8,0.012
315.0,0.012
315.2,0.012
315.4,0.012
315.6,0.012
315.8,0.011
316.0,0.011
316.2,0.011
316.4,0.011
316.6,0.011
316.8,0.011
317.0,0.011
317.2,0.011
317.4,0.011
317.6,0.011
317.8,0.011
318.0,0.011
318.2,0.011
318.4,0.011
318.6,0.010
318.8,0.010
319.0,0.010
319.2,0.010
319.4,0.010
319.6,0.010
319.8,0.010
320.0,0.010
320.2,0.010
320.4,0.010
320.6,0.010
320.8,0.010
321.0,0.010
321.2,0.010
321.4,0.010
321.6,0.010
321.8,0.010
322.0,0.010
322.2,0.010
322.4,0.010
322.6,0.010
322.8,0.009
323.0,0.009
323.2,0.009
323.4,0.009
323.6,0.009
323.8,0.009
324.0,0.009
324.2,0.009
324.4,0.009
324.6,0.009
324.8,0.009
325.0,0.009
325.2,0.009
325.4,0.009
325.6,0.009
325.8,0.009
326.0,0.009
326.2,0.009
326.4,0.009
326.6,0.009
326.8,0.009
327.0,0.009
327.2,0.009
327.4,0.008
327.6,0.008
327.8,0.008
328.0,0.008
328.2,0.008
328.4,0.008
328.6,0.008
328.8,0.008
329.0,0.008
329.2,0.008
329.4,0.008
329.6,0.008
329.8,0.008
330.0,0.008
330.2,0.008
330.4,0.008
330.6,0.008
330.8,0.008
331.0,0.008
331.2,0.008
331.4,0.008
331.6,0.008
331.8,0.008
332.0,0.008
332.2,0.008
332.4,0.008
332.6,0.008
332.8,0.008
333.0,0.008
333.2,0.007
333.4,0.007
333.6,0.007
333.8,0.007
334.0,0.007
334.2,0.007
334.4,0.007
334.6,0.007
334.8,0.007
335.0,0.007
335.2,0.007
335.4,0.007
335.6,0.007
335.8,0.007
336.0,0.007
336.2,0.007
336.4,0.007
336.6,0.007
336.8,0.007
337.0,0.007
337.2,0.007
337.4,0.007
337.6,0.007
337.8,0.007
338.0,0.007
338.2,0.007
338.4,0.007
338.6,0.007
338.8,0.007
339.0,0.006
339.2,0.006
339.4,0.006
339.6,0.006
339.8,0.006
340.0,0.006
340.2,0.006
340.4,0.006
340.6,0.006
340.8,0.006
341.0,0.006
341.2,0.006
341.4,0.006
341.6,0.006
341.8,0.006
342.0,0.006
342.2,0.006
342.4,0.006
342.6,0.006
342.8,0.006
343.0,0.006
343.2,0.006
343.4,0.006
343.6,0.006
343.8,0.006
344.0,0.006
344.2,0.006
344.4,0.006
344.6,0.006
344.8,0.006
345.0,0.006
345.2,0.006
345.4,0.005
345.6,0.005
345.8,0.005
346.0,0.005
346.2,0.005
346.4,0.005
346.6,0.005
346.8,0.005
347.0,0.005
347.2,0.005
347.4,0.005
347.6,0.005
347.8,0.005
348.0,0.005
348.2,0.005
348.4,0.005
348.6,0.005
348.8,0.005
349.0,0.005
349.2,0.005
349.4,0.005
349.6,0.005
349.8,0.005
350.0,0.005
350.2,0.005
350.4,0.005
350.6,0.005
350.8,0.005
351.0,0.005
351.2,0.005
351.4,0.005
351.6,0.004
351.8,0.004
352.0,0.004
352.2,0.004
352.4,0.004
352.6,0.004
352.8,0.004
353.0,0.004
353.2,0.004
353.4,0.004
353.6,0.004
353.8,0.004
354.0,0.004
354.2,0.004
354.4,0.004
354.6,0.004
354.8,0.004
355.0,0.004
355.2,0.004
355.4,0.004
355.6,0.004
355.8,0.004
356.0,0.004
356.2,0.004
356.4,0.004
356.6,0.004
356.8,0.004
357.0,0.004
357.2,0.004
357.4,0.004
357.6,0.003
357.8,0.003
358.0,0.003
358.2,0.003
358.4,0.003
358.6,0.003
358.8,0.003
359.0,0.003
359.2,0.003
359.4,0.003
359.6,0.003
359.8,0.003
360.0,0.003
360.2,0.003
360.4,0.003
360.6,0.003
360.8,0.003
361.0,0.003
361.2,0.003
361.4,0.003
361.6,0.003
361.8,0.003
362.0,0.003
362.2,0.003
362.4,0.003
362.6,0.003
362.8,0.003
363.0,0.003
363.2,0.003
363.4,0.003
363.6,0.003
363.8,0.003
364.0,0.003
364.2,0.003
364.4,0.003
364.6,0.003
364.8,0.002
365.0,0.002
365.2,0.002
365.4,0.002
365.6,0.002
365.8,0.002
366.0,0.002
366.2,0.002
366.4,0.002
366.6,0.002
366.8,0.002
367.0,0.002
367.2,0.002
367.4,0.002
367.6,0.002
367.8,0.002
368.0,0.002
368.2,0.002
368.4,0.002
368.6,0.002
368.8,0.002
369.0,0.002
369.2,0.002
369.4,0.002
369.6,0.002
369.8,0.002
370.0,0.002
370.2,0.002
370.4,0.002
370.6,0.002
370.8,0.002
371.0,0.002
371.2,0.002
371.4,0.002
371.6,0.002
371.8,0.002
372.0,0.002
372.2,0.002
372.4,0.002
372.6,0.002
372.8,0.002
373.0,0.002
373.2,0.002
373.4,0.002
373.6,0.002
373.8,0.002
374.0,0.002
374.2,0.001
374.4,0.001
374.6,0.001
374.8,0.001
375.0,0.001
375.2,0.001
375.4,0.001
375.6,0.001
375.8,0.001
376.0,0.001
376.2,0.001
376.4,0.001
376.6,0.001
376.8,0.001
377.0,0.001
377.2,0.001
377.4,0.001
377.6,0.001
377.8,0.001
378.0,0.001
378.2,0.001
378.4,0.001
378.6,0.001
378.8,0.001
379.0,0.001
379.2,0.001
379.4,0.001
379.6,0.001
379.8,0.001
380.0,0.001
380.2,0.001
380.4,0.001
380.6,0.001
380.8,0.001
381.0,0.001
381.2,0.001
381.4,0.001
381.6,0.001
381.8,0.001
382.0,0.001
382.2,0.001
382.4,0.001
382.6,0.001
382.8,0.001
383.0,0.001
383.2,0.001
383.4,0.001
383.6,0.001
383.8,0.001
384.0,0.001
384.2,0.001
384.4,0.001
384.6,0.001
384.8,0.001
385.0,0.001
385.2,0.001
385.4,0.001
385.6,0.001
385.8,0.001
386.0,0.001
386.2,0.001
386.4,0.001
386.6,0.001
386.8,0.001
387.0,0.001
387.2,0.001
387.4,0.001
387.6,0.001
387.8,0.001
388.0,0.001
388.2,0.001
388.4,0.001
388.6,0.001
388.8,0.001
389.0,0.001
389.2,0.001
389.4,0.001
389.6,0.001
389.8,0.001
390.0,0.001
390.2,0.001
390.4,0.001
390.6,0.001
390.8,0.001
391.0,0.001
391.2,0.001
391.4,0.001
391.6,0.001
391.8,0.001
392.0,0.001
392.2,0.001
392.4,0.001
392.6,0.001
392.8,0.001
393.0,0.001
393.2,0.001
393.4,0.001
393.6,0.001
393.8,0.001
394.0,0.001
394.2,0.000
394.4,0.001
394.6,0.001
394.8,0.001
395.0,0.001
395.2,0.001
395.4,0.001
395.6,0.001
395.8,0.001
396.0,0.001
396.2,0.000
396.4,0.000
396.6,0.001
396.8,0.001
397.0,0.000
397.2,0.001
397.4,0.000
397.6,0.000
397.8,0.000
398.0,0.000
398.2,0.000
398.4,0.000
398.6,0.000
398.8,0.000
399.0,0.000
399.2,0.000
399.4,0.000
399.6,0.000
399.8,0.000
400.0,0.000
400.2,0.000
400.4,0.000
400.6,0.000
400.8,0.000
401.0,0.000
401.2,0.000
401.4,0.000
401.6,0.000
401.8,0.000
402.0,0.000
402.2,0.000
402.4,0.000
402.6,0.000
402.8,0.000
403.0,0.000
403.2,0.000
403.4,0.000
403.6,0.000
403.8,0.000
404.0,0.000
404.2,0.000
404.4,0.000
404.6,0.000
404.8,0.000
405.0,0.000
405.2,0.000
405.4,0.000
405.6,0.000
405.8,0.000
406.0,0.000
406.2,0.000
406.4,0.000
406.6,0.000
406.8,0.000
407.0,0.000
407.2,0.000
407.4,0.000
407.6,0.000
407.8,0.000
408.0,0.000
408.2,0.000
408.4,0.000
408.6,0.000
408.8,0.000
409.0,0.000
409.2,0.000
409.4,0.000
409.6,0.000
409.8,0.000
410.0,0.000
410.2,0.000
410.4,0.000
410.6,0.000
410.8,0.000
411.0,0.000
411.2,0.000
411.4,0.000
411.6,0.000
411.8,0.000
412.0,0.000
412.2,0.000
412.4,0.000
412.6,0.000
412.8,0.000
413.0,0.000
413.2,0.000
413.4,0.000
413.6,0.000
413.8,0.000
414.0,0.000
414.2,0.000
414.4,0.000
414.6,0.000
414.8,0.000
415.0,0.000
415.2,0.000
415.4,0.000
415.6,0.000
415.8,0.000
416.0,0.000
416.2,0.000
416.4,0.000
416.6,0.001
416.8,0.001
417.0,0.001
417.2,0.001
417.4,0.001
417.6,0.001
417.8,0.001
418.0,0.001
418.2,0.001
418.4,0.001
418.6,0.001
418.8,0.001
419.0,0.001
419.2,0.001
419.4,0.001
419.6,0.001
419.8,0.001
420.0,0.001
420.2,0.001
420.4,0.001
420.6,0.001
420.8,0.001
421.0,0.001
421.2,0.001
421.4,0.001
421.6,0.001
421.8,0.001
422.0,0.001
422.2,0.001
422.4,0.001
422.6,0.001
422.8,0.001
423.0,0.001
423.2,0.001
423.4,0.001
423.6,0.001
423.8,0.001
424.0,0.001
424.2,0.001
424.4,0.001
424.6,0.001
424.8,0.001
425.0,0.001
425.2,0.001
425.4,0.001
425.6,0.001
425.8,0.001
426.0,0.001
426.2,0.001
426.4,0.001
426.6,0.001
426.8,0.001
427.0,0.001
427.2,0.001
427.4,0.001
427.6,0.001
427.8,0.001
428.0,0.001
428.2,0.001
428.4,0.001
428.6,0.001
428.8,0.001
429.0,0.001
429.2,0.001
429.4,0.001
429.6,0.001
429.8,0.001
430.0,0.001
430.2,0.001
430.4,0.001
430.6,0.001
430.8,0.001
431.0,0.001
431.2,0.001
431.4,0.001
431.6,0.001
431.8,0.001
432.0,0.001
432.2,0.001
432.4,0.001
432.6,0.001
432.8,0.001
433.0,0.001
433.2,0.001
433.4,0.001
433.6,0.001
433.8,0.001
434.0,0.001
434.2,0.001
434.4,0.001
434.6,0.001
434.8,0.001
435.0,0.001
435.2,0.001
435.4,0.001
435.6,0.001
435.8,0.001
436.0,0.001
436.2,0.001
436.4,0.001
436.6,0.001
436.8,0.001
437.0,0.001
437.2,0.001
437.4,0.001
437.6,0.001
437.8,0.001
438.0,0.001
438.2,0.001
438.4,0.001
438.6,0.001
438.8,0.001
439.0,0.001
439.2,0.001
439.4,0.001
439.6,0.001
439.8,0.001
440.0,0.001
440.2,0.001
440.4,0.001
440.6,0.001
440.8,0.001
441.0,0.001
441.2,0.001
441.4,0.001
441.6,0.001
441.8,0.001
442.0,0.001
442.2,0.001
442.4,0.001
442.6,0.001
442.8,0.001
443.0,0.001
443.2,0.001
443.4,0.001
443.6,0.001
443.8,0.001
444.0,0.001
444.2,0.001
444.4,0.001
444.6,0.001
444.8,0.001
445.0,0.001
445.2,0.001
445.4,0.001
445.6,0.001
445.8,0.001
446.0,0.001
446.2,0.001
446.4,0.001
446.6,0.001
446.8,0.001
447.0,0.001
447.2,0.001
447.4,0.001
447.6,0.001
447.8,0.001
448.0,0.001
448.2,0.001
448.4,0.001
448.6,0.001
448.8,0.001
449.0,0.001
449.2,0.001
449.4,0.001
449.6,0.001
449.8,0.001
450.0,0.001
450.2,0.001
450.4,0.001
450.6,0.001
450.8,0.001
451.0,0.001
451.2,0.001
451.4,0.001
451.6,0.001
451.8,0.001
452.0,0.001
452.2,0.001
452.4,0.001
452.6,0.001
452.8,0.001
453.0,0.001
453.2,0.001
453.4,0.001
453.6,0.001
453.8,0.001
454.0,0.001
454.2,0.001
454.4,0.001
454.6,0.001
454.8,0.001
455.0,0.001
455.2,0.001
455.4,0.001
455.6,0.001
455.8,0.001
456.0,0.001
456.2,0.001
456.4,0.001
456.6,0.001
456.8,0.001
457.0,0.001
457.2,0.001
457.4,0.001
457.6,0.001
457.8,0.001
458.0,0.001
458.2,0.001
458.4,0.001
458.6,0.001
458.8,0.001
459.0,0.001
459.2,0.001
459.4,0.001
459.6,0.001
459.8,0.001
460.0,0.001
460.2,0.001
460.4,0.001
460.6,0.001
460.8,0.001
461.0,0.001
461.2,0.001
461.4,0.001
461.6,0.001
461.8,0.001
462.0,0.001
462.2,0.001
462.4,0.001
462.6,0.001
462.8,0.001
463.0,0.001
463.2,0.001
463.4,0.001
463.6,0.001
463.8,0.001
464.0,0.001
464.2,0.001
464.4,0.001
464.6,0.001
464.8,0.001
465.0,0.001
465.2,0.001
465.4,0.001
465.6,0.001
465.8,0.001
466.0,0.001
466.2,0.001
466.4,0.001
466.6,0.001
466.8,0.001
467.0,0.001
467.2,0.001
467.4,0.001
467.6,0.001
467.8,0.001
468.0,0.001
468.2,0.001
468.4,0.001
468.6,0.001
468.8,0.001
469.0,0.001
469.2,0.001
469.4,0.001
469.6,0.001
469.8,0.001
470.0,0.001
470.2,0.001
470.4,0.001
470.6,0.001
470.8,0.001
471.0,0.001
471.2,0.001
471.4,0.001
471.6,0.001
471.8,0.001
472.0,0.001
472.2,0.001
472.4,0.001
472.6,0.001
472.8,0.001
473.0,0.001
473.2,0.001
473.4,0.001
473.6,0.001
473.8,0.001
474.0,0.001
474.2,0.001
474.4,0.001
474.6,0.001
474.8,0.001
475.0,0.001
475.2,0.001
475.4,0.001
475.6,0.001
475.8,0.001
476.0,0.001
476.2,0.001
476.4,0.001
476.6,0.001
476.8,0.001
477.0,0.001
477.2,0.001
477.4,0.001
477.6,0.001
477.8,0.001
478.0,0.001
478.2,0.001
478.4,0.001
478.6,0.001
478.8,0.001
479.0,0.001
479.2,0.001
479.4,0.001
479.6,0.001
479.8,0.001
480.0,0.001
480.2,0.001
480.4,0.001
480.6,0.001
480.8,0.001
481.0,0.001
481.2,0.001
481.4,0.001
481.6,0.001
481.8,0.001
482.0,0.001
482.2,0.001
482.4,0.001
482.6,0.001
482.8,0.001
483.0,0.001
483.2,0.001
483.4,0.001
483.6,0.001
483.8,0.001
484.0,0.001
484.2,0.001
484.4,0.001
484.6,0.001
484.8,0.001
485.0,0.001
485.2,0.001
485.4,0.001
485.6,0.001
485.8,0.001
486.0,0.001
486.2,0.001
486.4,0.001
486.6,0.001
486.8,0.001
487.0,0.001
487.2,0.001
487.4,0.001
487.6,0.001
487.8,0.001
488.0,0.001
488.2,0.001
488.4,0.001
488.6,0.001
488.8,0.001
489.0,0.001
489.2,0.001
489.4,0.001
489.6,0.001
489.8,0.001
490.0,0.001
490.2,0.001
490.4,0.001
490.6,0.001
490.8,0.001
491.0,0.001
491.2,0.001
491.4,0.001
491.6,0.001
491.8,0.001
492.0,0.001
492.2,0.001
492.4,0.001
492.6,0.001
492.8,0.001
493.0,0.001
493.2,0.001
493.4,0.001
493.6,0.001
493.8,0.001
494.0,0.001
494.2,0.001
494.4,0.001
494.6,0.001
494.8,0.001
495.0,0.001
495.2,0.001
495.4,0.001
495.6,0.001
495.8,0.001
496.0,0.001
496.2,0.001
496.4,0.001
496.6,0.001
496.8,0.001
497.0,0.001
497.2,0.001
497.4,0.001
497.6,0.001
497.8,0.001
498.0,0.001
498.2,0.001
498.4,0.001
498.6,0.001
498.8,0.001
499.0,0.001
499.2,0.001
499.4,0.001
499.6,0.001
499.8,0.001
500.0,0.001
